First Name,Last Name,Title,Department,Email,DepartmentID,EmployeeID,Manager
Shafira,Lambert,Designer,Marketing,slambert@red30tech.com,7,24,5
Guy,Maddox,Designer,Marketing,gmaddox@red30tech.com,7,26,5
Thane,Rivers,Senior Writer,Marketing,trivers@red30tech.com,7,29,77
Gil,Leach,Senior Writer,Marketing,gleach@red30tech.com,7,31,77
Ciara,Lane,Photographer,Marketing,clane@red30tech.com,7,34,54
Helen,Leon,Video Editor,Marketing,hleon@red30tech.com,7,39,77
Deanna,Michael,Web Designer,Marketing,dmichael@red30tech.com,7,40,5
Cadman,Powers,Photographer,Marketing,cpowers@red30tech.com,7,44,54
Yvette,Diaz,Web Designer,Marketing,ydiaz@red30tech.com,7,45,5
Suki,Gillespie,Lead Photographer,Marketing,sgillespie@red30tech.com,7,54,79
Whilemina,Gutierrez,Video Editor,Marketing,wgutierrez@red30tech.com,7,55,77
Brock,Pace,Copy Writer,Marketing,bpace@red30tech.com,7,57,77
Roanna,Bush,Video Editor,Marketing,rbush@red30tech.com,7,58,77
Joy,Gibbs,Copy Writer,Marketing,jgibbs@red30tech.com,7,60,77
Alexa,Moses,Copy Writer,Marketing,amoses@red30tech.com,7,68,77
Serina,Phelps,Video Editor,Marketing,sphelps@red30tech.com,7,73,77
Samuel,Brooks,Manager of Communications,Marketing,sbrooks@red30tech.com,7,77,79
Deborah,Harper,VP Marketing,Marketing,dharper@red30tech.com,7,79,37
Davis,Lang,Lead Product Manager,Travel Products,dlang@red30tech.com,8,2,49
Yvonne,Fischer,Product Manager,Travel Products,yfischer@red30tech.com,8,3,2
Tucker,Quinn,Sales Representative,Travel Products,tquinn@red30tech.com,8,4,42
Eric,Burch,Product Manager,Travel Products,eburch@red30tech.com,8,6,2
Kermit,Bowen,Sales Representative,Travel Products,kbowen@red30tech.com,8,7,42
Dominic,Buchanan,Product Manager,Travel Products,dbuchanan@red30tech.com,8,10,2
Hermione,Lane,Product Manager,Travel Products,hlane@red30tech.com,8,11,2
Sonia,Haynes,Sales Representative,Travel Products,shaynes@red30tech.com,8,28,42
Elliott,Moore,Sales Representative,Travel Products,emoore@red30tech.com,8,33,42
Brielle,Lester,Sales Representative,Travel Products,blester@red30tech.com,8,35,42
Abbot,Petty,Travel Writer,Travel Products,apetty@red30tech.com,8,36,42
Gail,Powers,Sales Representative,Travel Products,gpowers@red30tech.com,8,38,42
Lila,Young,Sales Representative,Travel Products,lyoung@red30tech.com,8,41,42
Grant,Nguyen,VP Sales,Travel Products,gnguyen@red30tech.com,8,42,37
Yuli,Shepard,Travel Writer,Travel Products,yshepard@red30tech.com,8,46,42
Logan,Davenport,Sales Representative,Travel Products,ldavenport@red30tech.com,8,48,42
Tatum,Hoover,Product Manager,Travel Products,thoover@red30tech.com,8,50,2
Ella,Callahan,Product Manager,Travel Products,ecallahan@red30tech.com,8,52,2
Ebony,Schneider,Travel Writer,Travel Products,eschneider@red30tech.com,8,62,42
Donovan,England,Product Manager,Travel Products,dengland@red30tech.com,8,66,2
Shay,Gaines,Product Manager,Travel Products,sgaines@red30tech.com,8,67,2
